governate,area,lat,lng,services
Al-Gharbia,Basyoun,30.94059389,30.82137233,1.0
Al-Gharbia,El Santa,30.73088075,31.11671518,1.0
Al-Gharbia,El Santa,30.72743801,31.12104115,3.0
Al-Gharbia,El Santa,30.73088075,31.11671518,1.0
Al-Gharbia,Kafr El Zayat,30.82634766,30.81811673,1.0
Al-Gharbia,Kafr El Zayat,30.82991578,30.8111978,1.0
Al-Gharbia,Kafr El Zayat,30.82385544,30.81166771,1.0
Al-Gharbia,Kafr El Zayat,30.82564688,30.81747651,1.0
Al-Gharbia,Kafr El Zayat,30.82023673,30.81920027,1.0
Al-Gharbia,Kafr El Zayat,30.82634766,30.81811673,1.0
Al-Gharbia,Kafr El Zayat,30.82991578,30.8111978,1.0
Al-Gharbia,Kafr El Zayat,30.82023673,30.81920027,1.0
Al-Gharbia,Kotoor,30.97070599,30.9569079,1.0
Al-Gharbia,Kotoor,30.9669702,30.95712002,1.0
Al-Gharbia,Kotoor,30.97712953,30.95726383,1.0
Al-Gharbia,Kotoor,30.94499339,30.96142241,1.0
Al-Gharbia,Kotoor,31.00002271,30.98920359,3.0
Al-Gharbia,Kotoor,30.94499339,30.96142241,1.0
Al-Gharbia,Kotoor,30.97712953,30.95726383,1.0
Al-Gharbia,Samanoud,30.96596881,31.24873192,1.0
Al-Gharbia,Samanoud,30.95934299,31.24424078,3.0
Al-Gharbia,Samanoud,30.88240156,31.23455724,1.0
Al-Gharbia,Samanoud,30.96349337,31.24265613,1.0
Al-Gharbia,Samanoud,30.84995542,31.23733932,1.0
Al-Gharbia,Samanoud,30.96170513,31.24650627,1.0
Al-Gharbia,Samanoud,30.88308183,31.23417071,1.0
Al-Gharbia,Samanoud,30.961457,31.244514,3.0
Al-Gharbia,Samanoud,30.88240156,31.23455724,1.0
Al-Gharbia,Samanoud,30.84995542,31.23733932,1.0
Al-Gharbia,Samanoud,30.96170513,31.24650627,1.0
Al-Gharbia,Samanoud,30.96596881,31.24873192,1.0
Al-Gharbia,Samanoud,30.96349337,31.24265613,1.0
Al-Gharbia,Tanta,30.79382197,31.00192247,1.0
Al-Gharbia,Tanta,30.78983568,30.99066344,1.0
Al-Gharbia,Tanta,30.77941184,30.98681621,1.0
Al-Gharbia,Tanta,30.88198283,30.96524633,1.0
Al-Gharbia,Tanta,30.7961301,30.99893496,1.0
Al-Gharbia,Tanta,30.7957389,30.99877817,1.0
Al-Gharbia,Tanta,30.78998351,30.99128595,1.0
Al-Gharbia,Tanta,30.79605565,30.99741897,1.0
Al-Gharbia,Tanta,30.81259891,31.0050727,1.0
Al-Gharbia,Tanta,30.81243086,31.00521908,1.0
Al-Gharbia,Tanta,30.81261632,31.00496598,1.0
Al-Gharbia,Tanta,30.79896145,30.99753061,1.0
Al-Gharbia,Tanta,30.78020191,31.01075553,1.0
Al-Gharbia,Tanta,30.80322412,30.99626516,1.0
Al-Gharbia,Tanta,30.78761068,30.99974312,1.0
Al-Gharbia,Tanta,30.79276148,30.99065859,3.0
Al-Gharbia,Tanta,30.79266653,30.98911174,1.0
Al-Gharbia,Tanta,30.79787371,31.00133273,1.0
Al-Gharbia,Tanta,30.79225101,31.01074536,3.0
Al-Gharbia,Tanta,30.79397192,31.00686315,1.0
Al-Gharbia,Tanta,30.8011309,30.99219252,1.0
Al-Gharbia,Tanta,30.783461,30.9895746,1.0
Al-Gharbia,Tanta,30.78571856,30.97899967,1.0
Al-Gharbia,Tanta,30.78109064,30.99600392,1.0
Al-Gharbia,Tanta,30.7855282,30.97898777,1.0
Al-Gharbia,Tanta,30.80423864,31.02322083,3.0
Al-Gharbia,Tanta,30.78503698,30.99363048,1.0
Al-Gharbia,Tanta,30.812431,31.005219,1.0
Al-Gharbia,Tanta,30.812616,31.004966,2.0
Al-Gharbia,Tanta,30.79322755,30.99561677,2.0
Al-Gharbia,Tanta,30.7968462,31.0020283,1.0
Al-Gharbia,Tanta,30.79802088,31.00799245,3.0
Al-Gharbia,Tanta,30.79656463,30.99715466,3.0
Al-Gharbia,Tanta,30.79273748,30.97869675,3.0
Al-Gharbia,Tanta,30.76841357,30.96798253,3.0
Al-Gharbia,Tanta,30.78243677,30.99414487,3.0
Al-Gharbia,Tanta,30.69038305,31.14258493,3.0
Al-Gharbia,Tanta,30.78503698,30.99363048,3.0
Al-Gharbia,Tanta,30.88198283,30.96524633,1.0
Al-Gharbia,Tanta,30.79896145,30.99753061,1.0
Al-Gharbia,Tanta,30.78109064,30.99600392,1.0
Al-Gharbia,Tanta,30.78983568,30.99066344,1.0
Al-Gharbia,Tanta,30.80423864,31.02322083,1.0
Al-Gharbia,Tanta,30.79397192,31.00686315,1.0
Al-Gharbia,Tanta,30.7957389,30.99877817,1.0
Al-Gharbia,Tanta,30.78998351,30.99128595,1.0
Al-Gharbia,Tanta,30.77941184,30.98681621,1.0
Al-Gharbia,Tanta,30.79382197,31.00192247,1.0
Al-Gharbia,Tanta,30.783461,30.9895746,1.0
Al-Gharbia,Tanta,30.80322412,30.99626516,1.0
Al-Gharbia,Tanta,30.786634,30.998089,1.0
Al-Gharbia,Tanta,30.7961301,30.99893496,1.0
Al-Gharbia,Tanta,30.8011309,30.99219252,1.0
Al-Gharbia,Tanta,30.7855282,30.97898777,1.0
Al-Gharbia,Tanta,30.78571856,30.97899967,1.0
