id,name,address,governate,area,lat,lng,services
8ee764f6-3570-4b1a-91cd-4ee4446ce4e4,Abu Homos,Abo Homs Central Hospital,Al-Behera,Abu Homos,31.105004,30.314502,Withdrawal
0b53336e-2ec2-4074-a715-87c12f004864,Abo Homos Educational Administration,Almdares St. - Abo Homos,Al-Behera,Abu Homos,31.1033,30.310782,withdrawal only
b429e885-1e95-4202-8b89-42030ec5bc97,The local unit Abo Homos,The local unit - Abo Homos,Al-Behera,Abu Homos,31.100602,30.31555,withdrawal only
7a8343e9-fff4-4508-aec0-76d22cef40b4,Abu Homos Central Hospital,Abo Homs Central Hospital,Al-Behera,Abu Homos,31.105004,30.314502,"Cash Dispenser only
"
d7455636-8894-46d3-8fec-a1d442a9ac89,Abo Homos Health Administration,Altaamen Alsehy St. - Abo Homos,Al-Behera,Abu Homos,31.099697,30.311892,"Cash Dispenser only
"
1051f74c-b345-4b11-8efb-0ec467a13d48,Al Mahmoudeya,Mahmoudia Canal St.,Al-Behera,Al Mahmoudeya,31.182750578,30.5275566920001,Withdrawal -Deposit - Forex
10a3143e-8e36-49d4-ba18-13c141d094f7,Al Mahmoudeya,Alatf Electricity Production Station - Mahmoudya - Alexandria,Al-Behera,Al Mahmoudeya,31.184945,30.52952,Withdrawal
6454eb7b-b3dd-4882-b6d2-73b6334df4d7,Al Mahmoudeya,Agricultural Road - 1 km Before the Gazelle Factory - Mahmoudia - Alexandria,Al-Behera,Al Mahmoudeya,31.175947,30.529477,Withdrawal
ad42a926-ce96-4795-a090-e93042e84540,Al Mahmoudeya,Building (M) Mahmodya General Hospital - Tareat Alrashidya St. - Buhaira,Al-Behera,Al Mahmoudeya,31.183878,30.519738,Withdrawal
d638dcf6-ae51-4c3a-98bd-a780f19b8a90,Misr Exchange Almahmoudia,2 Alteriaa Alrashedia St. behind Misr bank Almahmoudia \ Albuhira,Al-Behera,Al Mahmoudeya,31.1824926,30.52713284,"سحب فقط
"
d6f4e7b1-8e06-4875-b7d6-c7a2fad1ab3f,Etsalat - Almostaqbal Franchiez -Almahmoudia,Almanshia Algadida Bandar Almahmoudia,Al-Behera,Al Mahmoudeya,31.1838385,30.52745446,"سحب فقط
"
